KeyBase,Jenis RM,Jenis Analisa,Parameter,Std_mentah_2026,Kriteria,Nilai_std,Satuan,Std_tipe,Std_min,Std_max,m_num,M_num,Catatan
m 306602|kimia|free glycerol,M 306602,Kimia,Free  Glycerol,"Maks. 1,0%",Maks.,1.0,%,Maks,,1,,,
m 306602|kimia|residu pemijaran,M 306602,Kimia,Residu Pemijaran,"Maks. 0,5%",Maks.,0.5,%,Maks,,0.5,,,
m 307002|cemaran logam|as,M 307002,Cemaran Logam,As,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 307002|cemaran logam|cd,M 307002,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 307002|cemaran logam|hg,M 307002,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 307002|cemaran logam|pb,M 307002,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 307002|kimia|p2o5 (db),M 307002,Kimia,P2O5  (db),49 - 50%,,49 - 50,%,Range,49,50,,,
m 308502|cemaran logam|as,M 308502,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 308502|cemaran logam|cd,M 308502,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 308502|cemaran logam|hg,M 308502,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 308502|cemaran logam|pb,M 308502,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 308502|kimia|kemurnian / total warna,M 308502,Kimia,Kemurnian / Total Warna,Min. 87%,Min.,87,%,Min,87,,,,
m 308602|cemaran logam|as,M 308602,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 308602|cemaran logam|pb,M 308602,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 308602|kimia|kadar air (karl fisher),M 308602,Kimia,Kadar air (Karl Fisher),"Maks. 0,5%",Maks.,0.5,%,Maks,,0.5,,,
m 308602|kimia|kemurnian,M 308602,Kimia,Kemurnian,Min. 99% (db),Min.,99,% (db),Min,99,,,,
m 310102|cemaran logam|as,M 310102,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 310102|cemaran logam|hg,M 310102,Cemaran Logam,Hg,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 310102|cemaran logam|pb,M 310102,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 310102|kimia|kemurnian,M 310102,Kimia,Kemurnian,"97,0 - 101,0%  (db)",,97.0 - 101.0,% (db),Range,97,101,,,
m 335350|cemaran logam|as,M 335350,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 335350|cemaran logam|hg,M 335350,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 335350|cemaran logam|pb,M 335350,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 335350|kimia|bahan tidak larut aseton,M 335350,Kimia,Bahan Tidak Larut Aseton,Min. 97%,Min.,97,%,Min,97,,,,
m 335350|kimia|kadar air (karl fisher),M 335350,Kimia,Kadar Air (Karl Fisher),"Maks. 1,5%",Maks.,1.5,%,Maks,,1.5,,,
m 335350|mikrobiologi|alt,M 335350,Mikrobiologi,ALT,"Maks. 1,0 x 103 koloni/g",Maks.,1.0 x 10^3,koloni/g,m,,,1000,,
m 335350|mikrobiologi|coliform,M 335350,Mikrobiologi,Coliform,Maks. 10 koloni/g,Maks.,10,koloni/g,m,,,10,,
m 335350|mikrobiologi|e. coli,M 335350,Mikrobiologi,E. coli,Maks. < 3 koloni/g,Maks. <,3,koloni/g,m,,,3,,
m 335350|mikrobiologi|khamir & kapang,M 335350,Mikrobiologi,Khamir & Kapang,"Maks. 1,0 x 102 koloni/g",Maks.,1.0 x 10^2,koloni/g,m,,,100,,
m 335350|mikrobiologi|salmonella,M 335350,Mikrobiologi,Salmonella,Negatif,,,Negatif,Kualitatif,,,,,
m 338652|cemaran logam|as,M 338652,Cemaran Logam,As,Maks.  3 ppm,Maks.,3,ppm,Maks,,3,,,
m 338652|cemaran logam|cd,M 338652,Cemaran Logam,Cd,Maks.  1 ppm,Maks.,1,ppm,Maks,,1,,,
m 338652|cemaran logam|hg,M 338652,Cemaran Logam,Hg,Maks.  1 ppm,Maks.,1,ppm,Maks,,1,,,
m 338652|cemaran logam|pb,M 338652,Cemaran Logam,Pb,Maks.  2 ppm,Maks.,2,ppm,Maks,,2,,,
m 338652|mikrobiologi|apc,M 338652,Mikrobiologi,APC,Maks. 5000 col/g,Maks.,5000,col/g,m,,,5000,,
m 338652|mikrobiologi|enterobacteriaceae,M 338652,Mikrobiologi,Enterobacteriaceae,Negatif dalam 1 g,Negatif dalam,1,g,m,,,1,,
m 338652|mikrobiologi|salmonella,M 338652,Mikrobiologi,Salmonella,Negatif dalam 25 g,Negatif dalam,25,g,m,,,25,,
m 338652|mikrobiologi|yeast & mould,M 338652,Mikrobiologi,Yeast  &  Mould,Maks. 100 col/g,Maks.,100,col/g,m,,,1,,
m 339352|cemaran logam|as,M 339352,Cemaran Logam,As,Maks.  3 ppm,Maks.,3,ppm,Maks,,3,,,
m 339352|cemaran logam|cd,M 339352,Cemaran Logam,Cd,Maks.  1 ppm,Maks.,1,ppm,Maks,,1,,,
m 339352|cemaran logam|hg,M 339352,Cemaran Logam,Hg,Maks.  1 ppm,Maks.,1,ppm,Maks,,1,,,
m 339352|cemaran logam|pb,M 339352,Cemaran Logam,Pb,Maks.  2 ppm,Maks.,2,ppm,Maks,,2,,,
m 339352|mikrobiologi|apc,M 339352,Mikrobiologi,APC,Maks. 5000 col/g,Maks.,5000,col/g,m,,,5000,,
m 339352|mikrobiologi|coliform,M 339352,Mikrobiologi,Coliform,"Negatif dalam 0,1 g",Negatif dalam,0.1,g,m,,,0.1,,
m 339352|mikrobiologi|e.coli,M 339352,Mikrobiologi,E.coli,< 1 col/g,<,1,col/g,m,,,1,,
m 339352|mikrobiologi|enterobacteriaceae,M 339352,Mikrobiologi,Enterobacteriaceae,Negatif dalam 1 g,Negatif dalam,1,g,m,,,1,,
m 339352|mikrobiologi|salmonella,M 339352,Mikrobiologi,Salmonella,Negatif dalam 25 g,Negatif dalam,25,g,m,,,25,,
m 339352|mikrobiologi|staphylococcus aureus,M 339352,Mikrobiologi,Staphylococcus aureus,< 10 col/g,<,10,col/g,m,,,10,,
m 339352|mikrobiologi|yeast & mould,M 339352,Mikrobiologi,Yeast  &  Mould,Maks. 100 col/g,Maks.,100,col/g,m,,,1,,
m 434502|cemaran logam|as,M 434502,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 434502|cemaran logam|hg,M 434502,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 434502|cemaran logam|pb,M 434502,Cemaran Logam,Pb,Maks. 5 ppm,Maks.,5,ppm,Maks,,5,,,
m 434502|cemaran logam|sn,M 434502,Cemaran Logam,Sn,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 434502|mikrobiologi|bacillus cereus,M 434502,Mikrobiologi,Bacillus cereus,"m = 1,0 x 105 kol/g,",m =,1.0 x 10^5,kol/g,m,,,100000,,
m 434502|mikrobiologi|clostridium perfringens,M 434502,Mikrobiologi,Clostridium perfringens,"m = 1,0 x 104 kol/g,",m =,1.0 x 10^4,kol/g,m,,,10000,,
m 434502|mikrobiologi|coliform,M 434502,Mikrobiologi,Coliform,"m = negatif/ g,",,,"m = negatif/ g,",Kualitatif,,,,,
m 434502|mikrobiologi|e. coli,M 434502,Mikrobiologi,E. coli,"m = negatif/ g,",,,"m = negatif/ g,",Kualitatif,,,,,
m 434502|mikrobiologi|enterobacteriaceae,M 434502,Mikrobiologi,Enterobacteriaceae,"m = 1,0 x 104 kol/g,",m =,1.0 x 10^4,kol/g,m,,,10000,,
m 434502|mikrobiologi|kapang & khamir,M 434502,Mikrobiologi,Kapang & Khamir,"m = 1,0 x 104 kol/g,",m =,1.0 x 10^4,kol/g,m,,,10000,,
m 434502|mikrobiologi|salmonella sp,M 434502,Mikrobiologi,Salmonella Sp,"m = negatif/ 25 g,",m = negatif/,25,g,m,,,25,,
m 434502|mikrobiologi|tpc,M 434502,Mikrobiologi,TPC,"m = 1,0 x 106 kol/g,",m =,1.0 x 10^6,kol/g,m,,,1000000,,
m 504950|cemaran logam|as,M 504950,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
m 504950|cemaran logam|cd,M 504950,Cemaran Logam,Cd,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 504950|cemaran logam|hg,M 504950,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 504950|cemaran logam|pb,M 504950,Cemaran Logam,Pb,"Maks. 0,20 ppm",Maks.,0.20,ppm,Maks,,0.2,,,
m 504950|cemaran logam|sn,M 504950,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 504950|fisik|ukuran partikel,M 504950,Fisik,Ukuran Partikel,Min. 90 %  lolos  mesh 40,Min.,90,% lolos mesh 40,Min,90,,,,
m 504950|kimia|ethylene oxide,M 504950,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
m 504950|kimia|residu pestisida,M 504950,Kimia,Residu Pestisida,Sesuai  dengan  PERMENTAN 53 / 2018,,,Sesuai dengan PERMENTAN 53 / 2018,Cek,,,,,
m 504950|kimia|total etilena oksida (etilena oksida + 2-ce sebagai etilena oksida),M 504950,Kimia,Total Etilena oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
m 504950|mikrobiologi|alt,M 504950,Mikrobiologi,ALT,m = 104 kol/g,m =,104,kol/g,m,,,10000,,
m 504950|mikrobiologi|e. coli,M 504950,Mikrobiologi,E. coli,m = < 3 APM/g,m = <,3,APM/g,m,,,3,,
m 504950|mikrobiologi|kapang & khamir,M 504950,Mikrobiologi,Kapang & Khamir,m = 10 kol/g,m =,10,kol/g,m,,,10,,
m 505750|cemaran logam|as,M 505750,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
m 505750|cemaran logam|cd,M 505750,Cemaran Logam,Cd,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 505750|cemaran logam|hg,M 505750,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 505750|cemaran logam|pb,M 505750,Cemaran Logam,Pb,"Maks. 0,20 ppm",Maks.,0.20,ppm,Maks,,0.2,,,
m 505750|cemaran logam|sn,M 505750,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 505750|fisik|ukuran partikel,M 505750,Fisik,Ukuran Partikel,Min. 70 %  lolos  mesh 100,Min.,70,% lolos mesh 100,Min,70,,,,
m 505750|kimia|ethylene oxide,M 505750,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
m 505750|kimia|residu pestisida,M 505750,Kimia,Residu Pestisida,Sesuai  dengan  PERMENTAN 53 / 2018,,,Sesuai dengan PERMENTAN 53 / 2018,Cek,,,,,
m 505750|kimia|total etilena oksida (etilena oksida + 2-ce sebagai etilena oksida),M 505750,Kimia,Total Etilena oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
m 505750|mikrobiologi|alt,M 505750,Mikrobiologi,ALT,m = 104 kol/g,m =,104,kol/g,m,,,10000,,
m 505750|mikrobiologi|e. coli,M 505750,Mikrobiologi,E. coli,m = < 3 APM/g,m = <,3,APM/g,m,,,3,,
m 505750|mikrobiologi|kapang & khamir,M 505750,Mikrobiologi,Kapang & Khamir,m = 10 kol/g,m =,10,kol/g,m,,,10,,
m 508300|cemaran logam|as,M 508300,Cemaran Logam,As,"Maks. 0,10 ppm",Maks.,0.10,ppm,Maks,,0.1,,,
m 508300|cemaran logam|cd,M 508300,Cemaran Logam,Cd,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 508300|cemaran logam|hg,M 508300,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 508300|cemaran logam|pb,M 508300,Cemaran Logam,Pb,"Maks. 0,20 ppm",Maks.,0.20,ppm,Maks,,0.2,,,
m 508300|cemaran logam|sn,M 508300,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 508300|kimia|kadar so2,M 508300,Kimia,Kadar SO2,Maks. 10 ppm,Maks.,10,ppm,Maks,,10,,,
m 508300|kimia|residu fosfat (sebagai p),M 508300,Kimia,Residu Fosfat (Sebagai P),"Maks. 0,14%",Maks.,0.14,%,Maks,,0.14,,,
m 508300|mikrobiologi|alt,M 508300,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
m 508300|mikrobiologi|bacillus cereus,M 508300,Mikrobiologi,Bacillus cereus,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
m 508300|mikrobiologi|e. coli,M 508300,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
m 508300|mikrobiologi|kapang & khamir,M 508300,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 508300|mikrobiologi|salmonella,M 508300,Mikrobiologi,Salmonella,m = Negatif/25g,m = Negatif/,25,g,m,,,25,,
m 508300|mikrobiologi|total coliform,M 508300,Mikrobiologi,Total Coliform,m = 10 CFU/g,m =,10,CFU/g,m,,,10,,
m 508700|cemaran logam|as,M 508700,Cemaran Logam,As,"Maks. 0,10 ppm",Maks.,0.10,ppm,Maks,,0.1,,,
m 508700|cemaran logam|cd,M 508700,Cemaran Logam,Cd,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 508700|cemaran logam|hg,M 508700,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 508700|cemaran logam|pb,M 508700,Cemaran Logam,Pb,"Maks. 0,20 ppm",Maks.,0.20,ppm,Maks,,0.2,,,
m 508700|cemaran logam|sn,M 508700,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 508700|kimia|kadar so2,M 508700,Kimia,Kadar SO2,Maks. 10 ppm,Maks.,10,ppm,Maks,,10,,,
m 508700|kimia|residu fosfat (sebagai p),M 508700,Kimia,Residu Fosfat (Sebagai P),Maks. 10 ppm,Maks.,10,ppm,Maks,,10,,,
m 508700|mikrobiologi|alt,M 508700,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
m 508700|mikrobiologi|bacillus cereus,M 508700,Mikrobiologi,Bacillus cereus,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
m 508700|mikrobiologi|e. coli,M 508700,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
m 508700|mikrobiologi|kapang & khamir,M 508700,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 508700|mikrobiologi|salmonella,M 508700,Mikrobiologi,Salmonella,m = Negatif/25g,m = Negatif/,25,g,m,,,25,,
m 508700|mikrobiologi|total coliform,M 508700,Mikrobiologi,Total Coliform,m = 10 CFU/g,m =,10,CFU/g,m,,,10,,
olein|cemaran logam|as,Olein,Cemaran Logam,As,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
olein|cemaran logam|cd,Olein,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,"Konflik di 2026 (2 varian): Maks.  0,1  ppm; Maks.  40  ppm -> dipakai 'Maks.  0,1  ppm'. Cek manual."
olein|cemaran logam|cu,Olein,Cemaran Logam,Cu,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
olein|cemaran logam|fe,Olein,Cemaran Logam,Fe,"Maks.  1,5  ppm",Maks.,1.5,ppm,Maks,,1.5,,,
olein|cemaran logam|hg,Olein,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
olein|cemaran logam|pb,Olein,Cemaran Logam,Pb,Maks.  0.1  ppm,Maks.,0.1,ppm,Maks,,0.1,,,
olein|kimia|bilangan iod,Olein,Kimia,Bilangan  Iod,"Min.  56,5  cg/g",Min.,56.5,cg/g,Min,56.5,,,,
olein|kimia|color lovibon,Olein,Kimia,Color  lovibon,Maks.  3.5  Red,Maks.,3.5,Red,Maks,,3.5,,,
olein|kimia|kadar air & kotoran,Olein,Kimia,Kadar  Air  &  Kotoran,"Maks.  0,08 %",Maks.,0.08,%,Maks,,0.08,,,
olein|kimia|total dioksin,Olein,Kimia,Total Dioksin,"Maks.  2,5 pg/g lemak",Maks.,2.5,pg/g lemak,Maks,,2.5,,,
p 302502|cemaran logam|as,P 302502,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
p 302502|cemaran logam|hg,P 302502,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
p 302502|cemaran logam|pb,P 302502,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
p 302502|kimia|bahan tidak larut aseton,P 302502,Kimia,Bahan Tidak Larut Aseton,Min. 60%,Min.,60,%,Min,60,,,,
pam|fisik|bau,PAM,Fisik,Bau,Tidak Berbau,,,Tidak Berbau,Kualitatif,,,,,
pam|fisik|suhu,PAM,Fisik,Suhu,Suhu udara ± 3°C,Suhu udara ±,3,°C,Cek,,,,,
pam|fisik|warna,PAM,Fisik,Warna,Maks. 10 TCU,Maks.,10,TCU,Maks,,10,,,
pam|kimia|alt,PAM,Kimia,ALT,Koloni/mL,,,Koloni/mL,Cek,,,,,
pam|kimia|alumunium ( al ),PAM,Kimia,Alumunium  ( Al ),"Maks.  0,2  mg/L",Maks.,0.2,mg/L,Maks,,0.2,,,
pam|kimia|amonia (nh3) (terlarut),PAM,Kimia,Amonia (NH3) (Terlarut),"Maks.  1,5  mg/L",Maks.,1.5,mg/L,Maks,,1.5,,,
pam|kimia|arsen ( as ),PAM,Kimia,Arsen  ( As ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
pam|kimia|besi ( fe ),PAM,Kimia,Besi  ( Fe ),"Maks.  0,2  mg/L",Maks.,0.2,mg/L,Maks,,0.2,,,
pam|kimia|cadmium ( cd ),PAM,Kimia,Cadmium  ( Cd ),"Maks.  0,003  mg/L",Maks.,0.003,mg/L,Maks,,0.003,,,
pam|kimia|deterjen,PAM,Kimia,Deterjen,-,,,-,Cek,,,,,
pam|kimia|e.coli,PAM,Kimia,E.Coli,CFU/100mL,,,CFU/100mL,Cek,,,,,
pam|kimia|fenol (c6h6o) (c6h5oh),PAM,Kimia,Fenol (C6H6O) (C6H5OH),-,,,-,Cek,,,,,
pam|kimia|fluorida ( f ),PAM,Kimia,Fluorida  ( F ),"Maks.  1,5  mg/L",Maks.,1.5,mg/L,Maks,,1.5,,,
pam|kimia|fosfat (po4),PAM,Kimia,Fosfat (PO4),-,,,-,Cek,,,,,
pam|kimia|hidrogen sulfida (h2s),PAM,Kimia,Hidrogen Sulfida (H2S),"0,05 - 0,1 mg/L",,0.05 - 0.1,mg/L,Range,0.05,0.1,,,
pam|kimia|kekeruhan,PAM,Kimia,Kekeruhan,Maks.  3  NTU,Maks.,3,NTU,Maks,,3,,,
pam|kimia|kromium valensi 6 ( cr6+ ),PAM,Kimia,Kromium  Valensi 6 ( Cr6+ ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
pam|kimia|mangan ( mn ),PAM,Kimia,Mangan  ( Mn ),"Maks.  0,1  mg/L",Maks.,0.1,mg/L,Maks,,0.1,,,
pam|kimia|methylene blue active substance (mbas),PAM,Kimia,Methylene Blue Active  Substance  (MBAS),-,,,-,Cek,,,,,
pam|kimia|nikel (ni),PAM,Kimia,Nikel (Ni),"Maks.  0,07 mg/L",Maks.,0.07,mg/L,Maks,,0.07,,,
pam|kimia|nitrat ( no3 ),PAM,Kimia,Nitrat  ( NO3 ),Maks.  20  mg/L,Maks.,20,mg/L,Maks,,20,,,
pam|kimia|nitrit ( no2 ),PAM,Kimia,Nitrit  ( NO2 ),Maks.  3  mg/L,Maks.,3,mg/L,Maks,,3,,,
pam|kimia|parameter khusus,PAM,Kimia,Parameter Khusus,,,,,NA,,,,,
pam|kimia|parameter wajib,PAM,Kimia,Parameter Wajib,,,,,NA,,,,,
pam|kimia|ph,PAM,Kimia,pH,"6,5 - 8,5",,6.5 - 8.5,,Range,6.5,8.5,,,
pam|kimia|salmonella sp.,PAM,Kimia,Salmonella sp.,Koloni/100 mL,,,Koloni/100 mL,Cek,,,,,
pam|kimia|selenium ( se ),PAM,Kimia,Selenium  ( Se ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
pam|kimia|seng ( zn ),PAM,Kimia,Seng  ( Zn ),Maks.  3  mg/L,Maks.,3,mg/L,Maks,,3,,,
pam|kimia|senyawa diazo (zat pewarna sintetik),PAM,Kimia,Senyawa Diazo (zat pewarna sintetik),-,,,-,Cek,,,,,
pam|kimia|sianida ( cn ),PAM,Kimia,Sianida  ( CN ),"Maks.  0,07  mg/L",Maks.,0.07,mg/L,Maks,,0.07,,,
pam|kimia|sisa khlor,PAM,Kimia,Sisa Khlor,"0,2 - 0,5 dengan waktu 30 menit",,0.2 - 0.5,dengan waktu 30 menit,Range,0.2,0.5,,,
pam|kimia|tembaga ( cu ),PAM,Kimia,Tembaga  ( Cu ),Maks.  2  mg/L,Maks.,2,mg/L,Maks,,2,,,
pam|kimia|timbal (pb),PAM,Kimia,Timbal (pb),"Maks. 0,01 mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
pam|kimia|total coliform,PAM,Kimia,Total  Coliform,CFU/100mL,,,CFU/100mL,Cek,,,,,
pam|kimia|total kromium ( cr ),PAM,Kimia,Total Kromium  ( Cr ),"Maks.  0,05  mg/L",Maks.,0.05,mg/L,Maks,,0.05,,,
pam|kimia|total padatan ( tds ),PAM,Kimia,Total  Padatan  ( TDS ),Maks.  300  mg/L,Maks.,300,mg/L,Maks,,300,,,
pam|kimia|yeast & mould,PAM,Kimia,Yeast & Mould,,,,,NA,,,,,
payung orange|cemaran logam|as,Payung Orange,Cemaran Logam,As,"Maks.  0,5  ppm",Maks.,0.5,ppm,Maks,,0.5,,,
payung orange|cemaran logam|cd,Payung Orange,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
payung orange|cemaran logam|hg,Payung Orange,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
payung orange|cemaran logam|pb,Payung Orange,Cemaran Logam,Pb,Maks.  1  ppm,Maks.,1,ppm,Maks,,1,,,
payung orange|cemaran logam|sn,Payung Orange,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
payung orange|fisik|ukuran partikel size,Payung Orange,Fisik,Ukuran Partikel size,Min.  95 %  lolos  ( w/w ),Min.,95,% lolos ( w/w ),Min,95,,,,
payung orange|karakteristik adonan|falling number,Payung Orange,Karakteristik Adonan,Falling  number,Min.  300 detik,Min.,300,detik,Min,300,,,,
payung orange|karakteristik adonan|kadar gluten ( metode glutomatik ),Payung Orange,Karakteristik Adonan,Kadar Gluten ( Metode Glutomatik ),,,,,NA,,,,,
payung orange|karakteristik adonan|kestabilan,Payung Orange,Karakteristik Adonan,Kestabilan,Min.  10 menit,Min.,10,menit,Min,10,,,,
payung orange|karakteristik adonan|water absorption,Payung Orange,Karakteristik Adonan,Water  Absorption,Min.  60 %,Min.,60,%,Min,60,,,,
payung orange|kimia|deoksivalenol,Payung Orange,Kimia,Deoksivalenol,Maks.  1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
payung orange|kimia|ethylene oxide,Payung Orange,Kimia,Ethylene Oxide,"Maks.  0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
payung orange|kimia|ethylene oxide / jumlah total ethylene oxide,Payung Orange,Kimia,Ethylene Oxide / Jumlah Total Ethylene Oxide,"Maks.  0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
payung orange|kimia|fe,Payung Orange,Kimia,Fe,Min.  50 ppm,Min.,50,ppm,Min,50,,,,
payung orange|kimia|folic acid,Payung Orange,Kimia,Folic  Acid,Min.  2 ppm,Min.,2,ppm,Min,2,,,,
payung orange|kimia|kadar protein (db),Payung Orange,Kimia,Kadar  Protein (db),"Min.  13,0 %",Min.,13.0,%,Min,13,,,,
payung orange|kimia|keasamanan,Payung Orange,Kimia,Keasamanan,Maks.  50 mg KOH / 100 g,Maks.,50,mg KOH / 100 g,Maks,,50,,,
payung orange|kimia|okratoksin a,Payung Orange,Kimia,Okratoksin A,Maks.  5 ppb,Maks.,5,ppb,Maks,,5,,,
payung orange|kimia|permentan 53/2018 (gandum),Payung Orange,Kimia,Permentan 53/2018 (gandum),,,,,NA,,,,,
payung orange|kimia|residu pestisida :,Payung Orange,Kimia,Residu  pestisida :,,,,,NA,,,,,
payung orange|kimia|vit b1,Payung Orange,Kimia,Vit  B1,Min.  2.5 ppm,Min.,2.5,ppm,Min,2.5,,,,
payung orange|kimia|vit b2,Payung Orange,Kimia,Vit  B2,Min.  4 ppm,Min.,4,ppm,Min,4,,,,
payung orange|kimia|vit b3,Payung Orange,Kimia,Vit  B3,,,,,NA,,,,,
payung orange|kimia|zn,Payung Orange,Kimia,Zn,Min.  30 ppm,Min.,30,ppm,Min,30,,,,
payung orange|mikrobiologi|alt,Payung Orange,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
payung orange|mikrobiologi|bacillus cereus,Payung Orange,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
payung orange|mikrobiologi|escherichia coli,Payung Orange,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
payung orange|mikrobiologi|kapang & khamir,Payung Orange,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
payung orange|mikrobiologi|salmonella,Payung Orange,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
produksi|fisik|bau,Produksi,Fisik,Bau,Tidak Berbau,,,Tidak Berbau,Kualitatif,,,,,
produksi|fisik|suhu,Produksi,Fisik,Suhu,Suhu udara ± 3°C,Suhu udara ±,3,°C,Cek,,,,,
produksi|fisik|warna,Produksi,Fisik,Warna,Maks. 10 TCU,Maks.,10,TCU,Maks,,10,,,
produksi|kimia|alt,Produksi,Kimia,ALT,Koloni/mL,,,Koloni/mL,Cek,,,,,
produksi|kimia|alumunium ( al ),Produksi,Kimia,Alumunium  ( Al ),"Maks.  0,2  mg/L",Maks.,0.2,mg/L,Maks,,0.2,,,
